,Reference_Product,Product_Desciption,Product_Price,Disponibility
0,[V5-NANO-BK],"Double SIM - Ecran 4"" WVGA - Résolution: 800 x 480 pixels - Processeur SC7731E Quad Core 1.3 Ghz - RAM 512 Mo - Mémoire 4 Go - Android 9 Pie - 2x Appareils Photos 2 MP Arrière, 0.3 MP Frontale - Wifi - 3G - Bluetooth - GPRS - Batterie 1400 mAh - Couleur Noir - Garantie 1 an","142,000 TND",En stock
1,[M10NANO-BL],"Double SIM - Ecran 4.0"" WVGA TN 800x480 2.5D - Processeur Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 16 Go - Android 8.1 GO - 2x Appareils Photos 2 MP Arrière, 2 MP Frontale - Wifi - 3G - Bluetooth - GPS - FM - Batterie 1500 mAh - Couleur Bleu - Garantie 1 an + SIM Orange Offerte 40 Go","165,000 TND",En stock
2,[M10NANO-GO],"Double SIM - Ecran 4.0"" WVGA TN 800x480 2.5D - Processeur Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 16 Go - Android 8.1 GO - 2x Appareils Photos 2 MP Arrière, 2 MP Frontale - Wifi - 3G - Bluetooth - GPS - FM - Batterie 1500 mAh - Couleur Gold - Garantie 1 an + SIM Orange Offerte 40 Go","165,000 TND",En stock
3,[V5-BL],"Double SIM - Ecran 4.95"" - Résolution: 480 x 960 pixels - Processeur SC7731E Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 8 Go - Android Go - 2x Appareils Photos 5 MP Arrière, 5 MP Frontale - Wifi - 3G - Bluetooth - GPS - Batterie 2000 mAh - Couleur Bleu - Garantie 1 an + SIM Orange Offerte (40 Go)","205,000 TND",En stock
4,[V5-GO],"Double SIM - Ecran 4.95"" - Résolution: 480 x 960 pixels - Processeur SC7731E Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 8 Go - Android Go - 2x Appareils Photos 5 MP Arrière, 5 MP Frontale - Wifi - 3G - Bluetooth - GPS - Batterie 2000 mAh - Couleur Gold - Garantie 1 an + SIM Orange Offerte (40 Go)","205,000 TND",En stock
5,[V5-GR],"Double SIM - Ecran 4.95"" - Résolution: 480 x 960 pixels - Processeur SC7731E Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 8 Go - Android Go - 2x Appareils Photos 5 MP Arrière, 5 MP Frontale - Wifi - 3G - Bluetooth - GPS - Batterie 2000 mAh - Couleur Silver - Garantie 1 an + SIM Orange Offerte (40 Go)","205,000 TND",En stock
6,[M10-BL],"Double SIM - Ecran 5.45"" FWVGA+ TN 18:9 Full Screen 2.5D - Processeur SC7731E Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 16 Go - Android GO - 2x Appareils Photos 5 MP Arrière, 5 MP Frontale - Wifi - 3G - Bluetooth - FM - Batterie 2500 mAh - Couleur Bleu - Garantie 1 an + SIM Orange Offerte 40 Go","219,000 TND",En stock
7,[M10-CO],"Double SIM - Ecran 5.45"" FWVGA+ TN 18:9 Full Screen 2.5D - Processeur SC7731E Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 16 Go - Android GO - 2x Appareils Photos 5 MP Arrière, 5 MP Frontale - Wifi - 3G - Bluetooth - FM - Batterie 2500 mAh - Couleur Café - Garantie 1 an + SIM Orange Offerte 40 Go","219,000 TND",En stock
8,[M10-GR],"Double SIM - Ecran 5.45"" FWVGA+ TN 18:9 Full Screen 2.5D - Processeur SC7731E Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 16 Go - Android GO - 2x Appareils Photos 5 MP Arrière, 5 MP Frontale - Wifi - 3G - Bluetooth - FM - Batterie 2500 mAh - Couleur Vert - Garantie 1 an + SIM Orange Offerte 40 Go","219,000 TND",En stock
9,[M10-RD],"Double SIM - Ecran 5.45"" FWVGA+ TN 18:9 Full Screen 2.5D - Processeur SC7731E Quad Core 1.3 Ghz - RAM 1 Go - Mémoire 16 Go - Android GO - 2x Appareils Photos 5 MP Arrière, 5 MP Frontale - Wifi - 3G - Bluetooth - FM - Batterie 2500 mAh - Couleur Rouge - Garantie 1 an + SIM Orange Offerte 40 Go","219,000 TND",En stock
